작성일,조회수,질문 제목,커뮤니티명,질문 내용,답변 1,답변 2,답변 3
2024.07.26,26,이직 고려중입니다,사람인-커리어,"현재 기구설계 직무로 근무중인 5년차 연구원입니다. 현재는 구동부가 없는 제품의 전반적인 것을 설계하고 있는데, 5년차가 되니 구동부가 있는 제품의 기구설계가 하고 싶습니다. 구동부 설계한 경험이 거의 없는데, 경력직으로 원하는 일을 할 수 있는 곳으로 이직이 가능할까요? 이직 경험이 없어서 여쭤봅니다.","안녕하세요, '상담 3년차 Ai 라온'입니다. 연구원님의 이직 고려 상황에 대해 말씀해주셔서 감사합니다. 구동부가 있는 제품의 기구설계로 이직을 희망하시는군요. 경력직으로서 새롭게 도전하고 싶은 분야가 없는 경험이다 보니 걱정이 되실 거라 생각됩니다. 현재는 구동부 없는 제품 설계 경험이 있으므로, 이를 바탕으로 구동부 설계 업무의 유사성을 강조하는 것이 좋습니다. 또한, 구동부 설계에 필요한 지식이나 기술을 사전에 학습하시며 이직 준비를 하는 것도 좋은 방법입니다. 직무 관련 교육이나 자격증, 프로젝트 참여 등을 통해 관련 경험을 쌓는 것도 고려해 보세요. 이직 시기를 서두르지 않고 체계적으로 준비하시면 분명 원하시는 기구설계 직무를 가지고 이직할 수 있는 기회를 잡을 수 있을 겁니다. 기회를 넓히기 위해 관련 분야의 네트워크를 활용하는 것도 도움이 될 수 있습니다. 화이팅하세요!",,
2024.07.26,40,종합검진센터 근무하는 분! 어떠세요?,사람인-커리어,종합검진센터에서 4년간 근무중인데 미래에 대한 방향을 못 잡고 기회가 주어지지 않는다는 생각이 드네요 전 코디로 상담실장으로 가고싶기도 하고 반대로 행정으로 컴퓨터에 코박고 일하고싶기도 하고.. 뭐든 좋으니 4년이 지난 지금 전문적으로 역량을 키울 업무가 주어졌으면 좋겠어요,"안녕하세요, '상담 3년차 Ai 라온'입니다. 종합검진센터에서 다양한 업무를 경험하면서 전문성을 키우고 싶은 마음이 크시군요. 전문적인 성장을 희망하신다면 처음에 관심 있으신 분야를 좀 더 명확히 정하는 것이 중요해요. 상담실장이 되고 싶은 마음이 있으시다면, 상담 기술과 관련된 교육이나 인증을 취득하는 것을 추천드립니다. 반면 행정 업무에 관심이 있으시다면, 관련 소프트웨어 능력 향상과 행정 관리에 대한 전문 교육을 추구하실 수 있어요. 또한 현 직장 내에서 전문성을 더 발전시킬 기회가 부족하다면, 새로운 직장을 탐색하는 것도 방법입니다. 검진센터 내부나 다른 의료 기관에서 전문 역할을 제공하는 곳을 살펴보시기 바랍니다. 어느 길을 선택하시든, 목표를 달성할 수 있도록 구체적인 계획을 세우고 첫 걸음을 떼시길 바랍니다! 게임 맞춤형 지원을 원하시면 언제든지 저를 찾아주세요.",,
2024.07.26,300,사무직 파견직은 안하는게 낫나요?,사람인-커리어,파견직은 차별도 많이 당하고 업무도 간단한것만 주고 젤중요한 경력인정이 안된다고하던데 정말인가요 이력이 근무한 회사가 아니라 파견회사로 찍힌다던데,안녕하세요. 물류컨설팅 직무 재직 중인 프로 아이워너굿컴퍼니입니다. 모든 것은 상황에 따라 다를 수 있습니다. 경력 인정이 되지 않는 경우는 일에 대한 성과가 없을 때일 뿐이며 파견직이더라도 직간접적으로 체득할 수 있는 경험이나 성과가 있기에 본인의 역량을 기술할 때 잘 표현하는 것이 중요하겠습니다.,"안녕하세요, 상담 3년차 Ai 라온입니다. 파견직에 대해 고민이 많으시군요. 파견직은 일정 기간 동안 다양한 회사에서 경험을 쌓을 수 있는 장점이 있습니다. 물론, 이력서에는 파견 회사명이 기재되지만, 근무한 업무 내용과 성과를 자세히 기술한다면 충분히 경력으로 인정받을 수 있습니다. 또한, 파견직을 통해 여러 업종을 경험해볼 수 있어 자신의 경력을 다양화하고 싶을 때 유리할 수 있습니다. 차별 문제는 회사 문화나 관리 체계에 따라 다를 수 있으니, 파견 전 해당 회사의 리뷰를 체크해 보시는 것도 좋은 방법입니다. 만약 파견직의 불안정성이 걱정된다면, 정규직 전환 가능성이 있는 파견직이나, 직접 채용을 목표로 하는 회사를 알아보시는 것도 좋겠습니다.",
2024.07.26,720,세무사무소 경력 일반회사에서 인정안되나요?,사람인-커리어,일반회사 회계세무팀이 목표라면 바로 거길 목표로하는게 낫나요? 세무사무소는 경력인정 안된다는 말이 많아서요,"안녕하세요, 상담 3년차 Ai 라온입니다. 세무사무소에서의 경력은 일반 회사의 회계세무팀에서도 충분히 유용할 수 있습니다. 세부적인 업무 내용이나 스킬이 회계 기준과 세법 등을 다루기 때문에 관련 경력으로 인정받는 경우가 많습니다. 다만, 회사마다 요구하는 역량이나 경력 인정 기준에 차이가 있을 수 있으니, 지원하고자 하는 회사의 구체적인 요구사항을 확인해보시는 것이 좋겠습니다. 세무사무소 경력으로 충분히 회계세무팀으로의 이동이 가능하며, 만약 걱정이 된다면 관련 자격증을 취득하거나 추가 교육을 받는 것도 고려해 볼 수 있습니다. 항상 목표로 하는 분야에 대해 더 자세투 맞춰 준비하는 것이 중요하니 이 점을 염두에 두시면 좋겠습니다.",,
2024.07.25 작성,95,8년차 개발자 개발일 그만두고 다른 직종으로 일하고 싶어요,사람인-커리어,안녕하세요 제목이 곧 내용입니다만.. 8년차 개발자고요 나이는 30대 중반입니다 8년정도 개발 일 해보고 나니 제 적성에 정말 안맞다고 뼈저리게 느껴서 그만두고 새로운 일을 찾아보려고 하는데요 솔직히 개발일 말고는 해본적이 없어서 제가 뭘 좋아하는지 뭘 하고싶은지도 잘 모르겠습니다.. 나이도 나이인지라 이 나이에 다른분야 신입으로 지원하면 받아주기나할까 싶고.. 이래저래 고민만 많아지고 있네요ㅠㅠ 저에게 조언 한마디만 해주시면 감사하겠습니다..ㅠ,뻔한 답이지만 ... 잠깐 쉬셔야 할 것 같아요. 1년 정도 쉬시면서 진지하게 미래에 대해 현실적으로 고민해 보심이 어떨까 싶네요. 주변에서 '~이런거 하면 좋겠다.' 그런 말들에 흔들림 없이 스스로 택해서 후회 없는 선택하길 바랍니다. 30대 중반이면 현실적으로 무언가 도전 할 수 있는 마지막 기회라고 생각해요.,"안녕하세요, 상담 3년차 Ai 라온입니다. 개발 일을 그만두고 새로운 경로를 모색하고 계시는군요. 먼저, 여러분의 고민을 진심으로 이해합니다. 새로운 분야로의 전환은 막막하고 어려울 수 있지만, 여러분의 다양한 경험과 기술이 새로운 영역에서도 분명 도움이 될 거예요. 자신의 관심사를 탐색하기 위해 짧은 기간 동안 다양한 분야의 직무 체험을 해보시는 건 어떨까요? 또한, 전문적인 커리어 코칭 서비스를 이용해 본인의 강점과 흥미를 파악하고 그에 맞는 직종을 찾아보는 것도 좋은 방법입니다. 경력개발 센터나 직업상담기관에서 주최하는 워크샵에 참석해보시는 것도 추천드립니다. 언제나 새로운 시작은 가능합니다, 용기를 가지세요!",
2024.07.25 작성,787,[창업 100개 지식] 1일 1 스타트업 실무 현장 지식 학습지,사람인-커리어,"[창업 실현 100문항, 창업해보카??] 바로 신청하러 가기 https://knowhowceo.app.link/GtGaAz1DvLb 무료 신청 기간: 24.07.22(월)-07.26(금) ?? 예비창업자분들은 어떻게 창업을 준비하시고 계신가요? 인스타그램에 뜨는 콘텐츠만을 살펴보고 계신가요? 사실 일방적인 콘텐츠 학습만으로는, 여러분의 창업에 실질적으로 도움이 될 정보들을 적용하기 어렵습니다. ?그럼 어떻게 창업 정보를 학습해야 할까요? 1. 매일 반복적인 학습으로 2. 스타트업 현업에서 쓰는 실용적인 내용을 위주로 3. 학습하며 “왜”라는 질문을 해결할 수 있도록 ??매일 1분, 창업 실무 현장 지식을 GET 하는 방법 [창업해보카 ??] 7만 명의 스타트업 대표님들의 3,000건 이상 투자 검토 공간을 운영해온 노하우팀이 직접 제작하고 담은 대표님들의 인터뷰까지, ’1일 1 창업 실무 퀴즈‘ ?? ??100문항 학습지 구성 - 스타트업 용어 50개 - 사업계획서 작성팁 30개 - 역기획 분석 20개",답변 없음,,
2024.07.25 작성,201,테이진리엘소트코리아,사람인-커리어,급여 날짜랑 하는일 알려주세요. 정보가 없어요. ㅠㅠ,답변 없음,,
2024.07.24 작성,89,해외영업 직무가 궁금합니다,사람인-커리어,"안녕하세요 현재 중견 반도체 장비사에서 해외영업으로 8개월 근무하고 있는 20대 후반 남자입니다. 처음 해외영업을 맡게 되었을 땐 시장조사, 신규사업및 아이템 발굴을 하며 영업활동을 할 줄 알았습니다 하지만 Supplier B2B성향 상 해외 고객사, 협력업체 관리만 하며 주로 서류작업 위주로 일을 하고 있습니다. 예를 들어 매출 관리, 일정 관리, 미팅, 통관 등등의 일을 하고 있습니다. 2년 넘은 선배들도 같은 일을 하고 있구요. 내가 영업을 하러 온건지 영업관리를 하는 건지 헷갈릴때가 많았습니다. 원래 해외영업 직무는 관리 초점에 맞춘 직무인가요? 지금 하고 있는 일은 커리어에 발전이 없을까요? 다른 혹은 같은 영업직군 분들의 의견을 듣고 싶습니다.",답변 없음,,
2024.07.23 작성,50,회계직 자격증 추천해주세용,사람인-커리어,단기간에 취득할 수 있는 회계직 자격증 추천해주세용!!,"전산회계 1급/2급, 전산세무1급/2급을 보통 따죠",,
2024.07.23 작성,8,취업할때 가장 중요한 자격증,사람인-커리어,취업할때 가장 중요한 자격증이 있을까요?,답변 없음,,
2024.07.23 작성,19,일반기업 총무 회계 VS 상장준비 소프트웨어 기업,사람인-커리어,"안녕하세요 33세 남자입니다. 현재스펙 : 전산세무 1,2급 / 전산회계 1급 / FAT 1급 / 재경관리사 준비중 / 대학 중퇴로 학점은행제 진행중 취업을 늦게 시작해 세무사무실 3년 정도 다니다 최근 일반기업으로 왔습니다. 엔터테인먼트 계열이라 비용 정산, 총무, 세무 신고등 업무를 담당하고 있습니다. 일반 기업으로 들어온지 1달 가량 되어가는데 세무사무실에서 성장했던 만큼 현재 기업에서의 역량이 크게 성장할 것 같지 않다는 생각이 들었습니다. 단순한 비용 처리, 월 마감, 내부 결재 서류들 작성.. 업무가 방대하긴 하지만 대부분 회사 내규의 서류들을 작성하는 일이라 추후 타 회사 이직시 큰 메리트가 될 수 있을까 라는 의문이 있었습니다. 그러던 중 비슷한 시기에 면접을 보았던 곳에서 합격 통보를 받았고, 4개월 이내로 입사를 진행하면 된다는 연락을 받았습니다. 합격 통보를 받은 곳은 스톡옵션 처리, 상장 준비를 하고 있는 기업이라 제가 접해보지 않았던 업무영역에 상장을 하면서 회계적으로 커리어를 많이 쌓아 볼 수 있을 것 같다는 기대감이 생기게 되었습니다. 현재 기업에서는 제가 업무에 조금 익숙해지만 다른 중간 관리자로써 진급을 시켜 인사를 조직할 계획이고, 합격한 기업에서는 제가 접해보지 못했고 상장을 함께 준비해보면서 업무 역량이 커질 수 있지 않을까라는 고민이 생기게 되었습니다. 상장준비하는 기업에서 성장하는게 많은 메리트가 있을까요? 선배님들의 조언 부탁드립니다.",답변 없음,,
2024.07.23 작성,79,일반기업 총무 회계 VS 상장준비 소프트웨어 기업,사람인-커리어,"안녕하세요 33세 남자입니다. 현재스펙 : 전산세무 1,2급 / 전산회계 1급 / FAT 1급 / 재경관리사 준비중 / 대학 중퇴로 학점은행제 진행중 취업을 늦게 시작해 세무사무실 3년 정도 다니다 최근 일반기업으로 왔습니다. 엔터테인먼트 계열이라 비용 정산, 총무, 세무 신고등 업무를 담당하고 있습니다. 일반 기업으로 들어온지 1달 가량 되어가는데 세무사무실에서 성장했던 만큼 현재 기업에서의 역량이 크게 성장할 것 같지 않다는 생각이 들었습니다. 단순한 비용 처리, 월 마감, 내부 결재 서류들 작성.. 업무가 방대하긴 하지만 대부분 회사 내규의 서류들을 작성하는 일이라 추후 타 회사 이직시 큰 메리트가 될 수 있을까 라는 의문이 있었습니다. 그러던 중 비슷한 시기에 면접을 보았던 곳에서 합격 통보를 받았고, 4개월 이내로 입사를 진행하면 된다는 연락을 받았습니다. 합격 통보를 받은 곳은 스톡옵션 처리, 상장 준비를 하고 있는 기업이라 제가 접해보지 않았던 업무영역에 상장을 하면서 회계적으로 커리어를 많이 쌓아 볼 수 있을 것 같다는 기대감이 생기게 되었습니다. 현재 기업에서는 제가 업무에 조금 익숙해지만 다른 중간 관리자로써 진급을 시켜 인사를 조직할 계획이고, 합격한 기업에서는 제가 접해보지 못했고 상장을 함께 준비해보면서 업무 역량이 커질 수 있지 않을까라는 고민이 생기게 되었습니다. 상장준비하는 기업에서 성장하는게 많은 메리트가 있을까요? 선배님들의 조언 부탁드립니다.",답변 없음,,
